MSSubClass,LotFrontage,LotArea,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation,BsmtQual,BsmtFinType1,TotalBsmtSF,HeatingQC,GrLivArea,BsmtFullBath,FullBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,MoSold,YrSold,SalePrice,outdoorAreaSF
60,85.0,11924,NridgHt,2Story,9,5,2005,WdShing,Wd Shng,Stone,286.0,PConc,Ex,GLQ,1175,Ex,2324,1,3,4,Ex,11,2,Gd,BuiltIn,Fin,3,736,7,2006,345000,168
20,90.4186046511628,12968,Sawyer,1Story,5,6,1962,HdBoard,Plywood,None,0.0,CBlock,TA,ALQ,912,TA,912,1,1,2,TA,4,0,none,Detchd,Unf,1,352,9,2008,144000,316
20,91.0,10652,CollgCr,1Story,7,5,2006,VinylSd,VinylSd,Stone,306.0,PConc,Gd,Unf,1494,Ex,1494,0,2,3,Gd,7,1,Gd,Attchd,RFn,3,840,8,2007,279500,193
20,90.4186046511628,10920,NAmes,1Story,6,5,1960,MetalSd,MetalSd,BrkFace,212.0,CBlock,TA,BLQ,1253,TA,1253,1,1,2,TA,5,1,Fa,Attchd,RFn,1,352,5,2008,157000,389
45,51.0,6120,BrkSide,1.5Unf,7,8,1929,Wd Sdng,Wd Sdng,None,0.0,BrkTil,TA,Unf,832,Ex,854,0,1,2,TA,5,0,none,Detchd,Unf,2,576,7,2007,132000,160
20,90.4186046511628,11241,NAmes,1Story,6,7,1970,Wd Sdng,Wd Sdng,BrkFace,180.0,CBlock,TA,ALQ,1004,Ex,1004,1,1,2,TA,5,1,TA,Attchd,Fin,2,480,3,2010,149000,0
20,66.0,13695,SawyerW,1Story,5,5,2004,VinylSd,VinylSd,None,0.0,PConc,TA,GLQ,1114,Ex,1114,1,1,3,Gd,6,0,none,Detchd,Unf,2,576,6,2008,159000,102
20,70.0,7560,NAmes,1Story,5,6,1958,BrkFace,Plywood,None,0.0,CBlock,TA,LwQ,1029,TA,1339,0,1,3,TA,6,0,none,Attchd,Unf,1,294,5,2009,139000,0
60,101.0,14215,NridgHt,2Story,8,5,2005,VinylSd,VinylSd,BrkFace,380.0,PConc,Ex,Unf,1158,Ex,2376,0,3,4,Gd,9,1,Gd,BuiltIn,RFn,3,853,11,2006,325300,394
45,57.0,7449,IDOTRR,1.5Unf,7,7,1930,Wd Sdng,Wd Sdng,None,0.0,PConc,TA,Unf,637,Ex,1108,0,1,3,Gd,6,1,Gd,Attchd,Unf,1,280,6,2007,139400,205
20,75.0,9742,CollgCr,1Story,8,5,2002,VinylSd,VinylSd,BrkFace,281.0,PConc,Gd,Unf,1777,Ex,1795,0,2,3,Gd,7,1,Gd,Attchd,RFn,2,534,9,2008,230000,330
120,44.0,4224,MeadowV,1Story,5,7,1976,CemntBd,CmentBd,None,0.0,PConc,Gd,GLQ,1040,TA,1060,1,1,3,TA,6,1,TA,Attchd,Unf,2,572,6,2007,129900,210
20,90.4186046511628,8246,Sawyer,1Story,5,8,1968,Plywood,Plywood,None,0.0,CBlock,TA,Rec,1060,Ex,1060,1,1,3,Gd,6,1,TA,Attchd,Unf,1,270,5,2010,154000,496
20,110.0,14230,NridgHt,1Story,8,5,2007,VinylSd,VinylSd,Stone,640.0,PConc,Gd,Unf,1566,Ex,1600,0,2,3,Gd,7,1,Gd,Attchd,RFn,3,890,7,2009,256300,56
20,60.0,7200,NAmes,1Story,5,7,1951,Wd Sdng,Wd Sdng,None,0.0,CBlock,TA,BLQ,900,TA,900,0,1,3,Gd,5,0,none,Detchd,Unf,2,576,5,2010,134800,254
20,98.0,11478,NridgHt,1Story,8,5,2007,VinylSd,VinylSd,Stone,200.0,PConc,Ex,GLQ,1704,Ex,1704,1,2,3,Gd,7,1,Gd,Attchd,RFn,3,772,5,2010,306000,50
20,47.0,16321,NAmes,1Story,5,6,1957,MetalSd,MetalSd,None,0.0,CBlock,TA,BLQ,1484,TA,1600,1,1,2,TA,6,2,Gd,Attchd,RFn,1,319,12,2006,207500,546
30,60.0,6324,BrkSide,1Story,4,6,1927,MetalSd,MetalSd,None,0.0,BrkTil,TA,Unf,520,Fa,520,0,1,1,Fa,4,0,none,Detchd,Unf,1,240,5,2008,68500,136
70,50.0,8500,IDOTRR,2Story,4,4,1920,BrkFace,BrkFace,None,0.0,BrkTil,TA,Unf,649,TA,1317,0,1,3,TA,6,0,none,Detchd,Unf,1,250,7,2008,40000,226
20,90.4186046511628,8544,Sawyer,1Story,5,6,1966,HdBoard,HdBoard,None,0.0,CBlock,TA,Unf,1228,Gd,1228,0,1,3,Gd,6,0,none,Attchd,Unf,1,271,6,2008,149350,65
20,85.0,11049,CollgCr,1Story,8,5,2007,VinylSd,VinylSd,None,0.0,PConc,Ex,Unf,1234,Ex,1234,0,2,3,Gd,7,0,none,Attchd,RFn,2,484,1,2008,179900,30
20,70.0,10552,NAmes,1Story,5,5,1959,BrkFace,BrkFace,None,0.0,CBlock,TA,Rec,1398,Gd,1700,0,1,4,Gd,6,1,Gd,Attchd,RFn,2,447,4,2010,165500,38
120,60.0,7313,NridgHt,1Story,9,5,2005,MetalSd,MetalSd,BrkFace,246.0,PConc,Ex,GLQ,1561,Ex,1561,1,2,2,Ex,6,1,Gd,Attchd,Fin,2,556,8,2007,277500,250
60,108.0,13418,NridgHt,2Story,8,5,2004,VinylSd,VinylSd,Stone,132.0,PConc,Ex,Unf,1117,Ex,2452,0,3,4,Gd,9,1,Gd,BuiltIn,Fin,3,691,9,2006,309000,145
20,112.0,10859,CollgCr,1Story,5,5,1994,VinylSd,VinylSd,None,0.0,PConc,Gd,Unf,1097,Ex,1097,0,1,3,TA,6,0,none,Attchd,Unf,2,672,6,2009,145000,456
20,74.0,8532,NAmes,1Story,5,6,1954,Wd Sdng,Wd Sdng,BrkFace,650.0,CBlock,TA,Rec,1297,Gd,1297,0,1,3,TA,5,1,TA,Attchd,Fin,2,498,10,2009,153000,0
20,68.0,7922,NAmes,1Story,5,7,1953,VinylSd,VinylSd,None,0.0,CBlock,TA,GLQ,1057,TA,1057,1,1,3,Gd,5,0,none,Detchd,Unf,1,246,1,2010,109000,52
20,84.0,8658,NAmes,1Story,6,5,1965,Wd Sdng,Wd Sdng,BrkFace,101.0,CBlock,TA,Rec,1088,Ex,1324,0,2,3,TA,6,1,TA,Attchd,RFn,2,440,12,2006,160000,138
20,115.0,16905,Timber,1Story,5,6,1959,VinylSd,VinylSd,None,0.0,CBlock,TA,BLQ,1350,Gd,1328,0,1,2,TA,5,2,Gd,Attchd,RFn,1,308,7,2007,170000,104
85,90.4186046511628,9180,SawyerW,SFoyer,5,7,1983,HdBoard,HdBoard,None,0.0,CBlock,Gd,ALQ,840,Gd,884,1,1,2,Gd,5,0,none,Attchd,RFn,2,504,12,2007,144000,240
20,90.4186046511628,9200,CollgCr,1Story,5,6,1975,VinylSd,VinylSd,None,0.0,CBlock,Gd,LwQ,938,TA,938,1,1,3,TA,5,0,none,Detchd,Unf,1,308,7,2008,130250,145
20,70.0,7945,NAmes,1Story,5,6,1959,BrkFace,Wd Sdng,None,0.0,CBlock,TA,ALQ,1150,Ex,1150,1,1,3,TA,6,0,none,Attchd,RFn,1,300,5,2006,141000,0
120,61.0,7658,NridgHt,1Story,9,5,2005,MetalSd,MetalSd,BrkFace,412.0,PConc,Ex,GLQ,1752,Ex,1752,1,2,2,Ex,6,1,Gd,Attchd,RFn,2,576,2,2010,319900,278
50,48.0,12822,Mitchel,1.5Fin,7,5,2003,VinylSd,VinylSd,None,0.0,PConc,Ex,GLQ,1434,Ex,2149,1,1,1,Gd,6,1,Ex,Attchd,RFn,2,670,8,2009,239686,409
20,84.0,11096,Somerst,1Story,8,5,2006,VinylSd,VinylSd,None,0.0,PConc,Gd,GLQ,1656,Ex,1656,0,2,3,Gd,7,0,none,Attchd,RFn,3,826,7,2007,249700,146
190,33.0,4456,OldTown,2Story,4,5,1920,MetalSd,MetalSd,None,0.0,BrkTil,TA,Unf,736,Gd,1452,0,2,2,TA,8,0,none,none,none,0,0,6,2009,113000,102
20,66.0,7742,Sawyer,1Story,5,7,1966,HdBoard,HdBoard,None,0.0,CBlock,TA,BLQ,955,Ex,955,1,1,3,TA,6,0,none,Attchd,Unf,1,386,1,2007,127000,0
60,90.4186046511628,13869,Gilbert,2Story,6,6,1997,VinylSd,VinylSd,None,0.0,PConc,Gd,GLQ,794,Gd,1470,0,2,3,TA,6,0,none,Attchd,Fin,2,388,7,2007,177000,75
50,52.0,6240,BrkSide,1.5Fin,6,6,1934,Wd Sdng,Wd Sdng,None,0.0,PConc,TA,Unf,816,TA,1176,0,1,3,TA,6,1,Gd,Detchd,Unf,2,528,9,2006,114500,112
90,110.0,8472,IDOTRR,1Story,5,5,1963,Wd Sdng,Wd Sdng,None,0.0,CBlock,Gd,LwQ,816,TA,816,1,1,2,TA,5,0,none,CarPort,Unf,2,516,5,2010,110000,106
20,68.0,50271,Veenker,1Story,9,5,1981,WdShing,Wd Shng,None,0.0,CBlock,Ex,GLQ,1842,Gd,1842,2,0,0,Gd,5,1,Gd,Attchd,Fin,3,894,11,2006,385000,929
80,60.0,7134,NAmes,SLvl,5,5,1955,MetalSd,MetalSd,None,0.0,CBlock,TA,ALQ,384,TA,1360,0,1,3,TA,6,1,TA,Detchd,Unf,2,572,2,2007,130000,50
20,100.0,10175,NAmes,1Story,6,5,1964,HdBoard,Plywood,BrkFace,272.0,CBlock,TA,BLQ,1425,Gd,1425,0,2,3,TA,7,1,Gd,Attchd,RFn,2,576,7,2008,180500,0
160,24.0,2645,Somerst,2Story,8,5,1999,MetalSd,MetalSd,BrkFace,456.0,PConc,Gd,GLQ,970,Ex,1739,1,2,3,Gd,7,0,none,Attchd,Fin,2,480,8,2009,172500,115
60,89.0,11645,CollgCr,2Story,7,5,2004,VinylSd,VinylSd,None,0.0,PConc,Gd,Unf,860,Ex,1720,0,2,3,Gd,7,0,none,Attchd,RFn,2,565,8,2006,196500,70
60,66.0,13682,StoneBr,2Story,10,5,2006,VinylSd,VinylSd,BrkFace,1031.0,PConc,Ex,Unf,1410,Ex,2945,0,3,3,Gd,10,1,Gd,BuiltIn,Fin,3,641,10,2006,438780,229
20,60.0,7200,CollgCr,1Story,5,7,1972,HdBoard,HdBoard,None,0.0,CBlock,TA,ALQ,780,Ex,780,0,1,2,TA,4,0,none,Detchd,Unf,1,352,1,2008,124900,196
20,63.0,13072,SawyerW,1Story,6,5,2004,VinylSd,VinylSd,None,0.0,PConc,Gd,ALQ,1158,Ex,1158,1,1,3,Gd,5,0,none,Detchd,Unf,2,576,5,2006,158000,50
75,60.0,7200,IDOTRR,2.5Unf,5,7,1920,MetalSd,MetalSd,None,0.0,BrkTil,TA,Unf,530,TA,1111,0,1,3,Fa,6,0,none,Detchd,Unf,1,288,3,2007,101000,144
120,44.0,6442,NridgHt,1Story,8,5,2006,VinylSd,VinylSd,Stone,178.0,PConc,Gd,GLQ,1370,Ex,1370,0,2,2,Gd,6,1,Gd,Attchd,RFn,2,484,10,2007,202500,169
70,50.0,10300,OldTown,2Story,7,6,1921,Stucco,Stucco,None,0.0,BrkTil,TA,Unf,576,Gd,1710,0,2,3,TA,9,0,none,Detchd,Unf,2,480,4,2010,140000,87
60,90.4186046511628,9375,CollgCr,2Story,7,5,1997,VinylSd,VinylSd,BrkFace,573.0,PConc,Gd,GLQ,1057,Ex,2034,1,2,3,Gd,8,0,none,Attchd,RFn,2,645,2,2009,219500,612
60,76.0,9591,NridgHt,2Story,8,5,2004,VinylSd,VinylSd,BrkFace,344.0,PConc,Ex,Unf,1143,Ex,2473,0,2,4,Gd,9,1,Gd,BuiltIn,RFn,3,852,10,2007,317000,343
20,90.4186046511628,19900,NAmes,1Story,7,5,1970,Plywood,Plywood,BrkFace,287.0,CBlock,Gd,GLQ,1947,TA,2207,1,2,3,TA,7,1,Gd,Attchd,RFn,2,576,7,2010,180000,301
20,72.0,10665,CollgCr,1Story,7,5,2003,VinylSd,VinylSd,BrkFace,167.0,PConc,Gd,GLQ,1453,Ex,1479,1,2,3,Gd,7,0,none,Attchd,RFn,2,558,6,2007,226000,173
30,47.0,4608,OldTown,1Story,4,6,1945,MetalSd,MetalSd,None,0.0,CBlock,TA,Unf,747,TA,747,0,1,2,TA,4,0,none,Attchd,Unf,1,220,6,2010,80000,0
50,81.0,15593,ClearCr,1.5Fin,7,4,1953,BrkFace,AsbShng,None,0.0,CBlock,TA,BLQ,1304,TA,2287,0,2,3,TA,7,1,TA,Attchd,Fin,2,667,7,2006,225000,135
20,95.0,13651,NAmes,1Story,7,6,1973,Plywood,Plywood,BrkFace,1115.0,CBlock,Gd,ALQ,2223,Ex,2223,1,2,3,TA,8,2,Gd,Attchd,Fin,2,516,2,2007,244000,300
20,69.0,7599,Mitchel,1Story,4,6,1982,HdBoard,Plywood,None,0.0,CBlock,TA,ALQ,845,TA,845,1,1,2,TA,4,0,none,Detchd,Unf,2,360,6,2007,129500,0
60,74.0,10141,Gilbert,2Story,7,5,1998,VinylSd,VinylSd,BrkFace,40.0,PConc,Gd,Unf,832,Gd,1718,0,2,3,TA,7,1,TA,Attchd,Fin,2,427,12,2009,185000,385
20,85.0,10200,NAmes,1Story,5,7,1954,Wd Sdng,Wd Sdng,BrkFace,104.0,CBlock,TA,ALQ,1086,Gd,1086,1,1,3,TA,6,0,none,Attchd,Unf,2,490,5,2010,144900,0
50,60.0,5790,OldTown,2Story,3,6,1915,VinylSd,VinylSd,None,0.0,CBlock,Fa,Unf,840,Gd,1605,0,2,3,TA,8,0,none,Detchd,Unf,1,379,5,2010,107400,202
180,21.0,1596,MeadowV,SLvl,4,5,1973,CemntBd,CmentBd,None,0.0,CBlock,Gd,GLQ,462,TA,988,1,1,2,TA,5,0,none,BuiltIn,Unf,1,297,11,2009,91000,221
20,90.4186046511628,8475,NAmes,1Story,4,7,1956,VinylSd,VinylSd,None,0.0,CBlock,TA,ALQ,952,Ex,952,0,1,2,TA,4,0,none,Detchd,Unf,1,283,4,2008,135750,0
50,50.0,8635,BrkSide,1.5Fin,5,5,1948,Wd Sdng,Wd Sdng,None,0.0,CBlock,TA,BLQ,672,TA,1285,1,1,2,TA,6,0,none,Detchd,Unf,1,240,1,2008,127000,0
90,72.0,10778,Sawyer,1Story,4,5,1968,HdBoard,HdBoard,None,0.0,CBlock,TA,Unf,1768,TA,1768,0,2,4,TA,8,0,none,none,none,0,0,4,2010,136500,0
50,60.0,10440,OldTown,2Story,5,6,1910,Wd Sdng,Wd Sdng,None,0.0,PConc,TA,Unf,440,Gd,1230,0,1,2,TA,5,0,none,Detchd,Unf,2,440,5,2009,110000,202
60,100.0,13000,NAmes,2Story,6,6,1968,VinylSd,VinylSd,BrkFace,576.0,CBlock,Gd,Rec,896,TA,2142,0,2,4,Gd,8,1,Gd,Attchd,Fin,1,509,6,2009,193500,324
120,32.0,4500,Mitchel,1Story,6,5,1998,VinylSd,VinylSd,BrkFace,443.0,PConc,Ex,GLQ,1237,Ex,1337,1,2,2,TA,5,0,none,Attchd,Fin,2,405,3,2006,153500,199
20,78.0,10206,Somerst,1Story,8,5,2007,VinylSd,VinylSd,Stone,468.0,PConc,Gd,GLQ,1563,Ex,1563,0,2,3,Gd,6,1,Gd,Attchd,RFn,3,758,10,2008,245000,243
20,80.0,8892,NAmes,1Story,5,5,1960,MetalSd,MetalSd,BrkCmn,66.0,CBlock,TA,Unf,1065,Gd,1065,0,1,3,TA,6,0,none,Detchd,Unf,2,461,7,2007,126500,74
80,90.4186046511628,8530,Gilbert,SLvl,7,5,1995,HdBoard,HdBoard,BrkFace,22.0,PConc,Gd,Unf,384,Gd,1474,0,2,3,TA,7,1,TA,BuiltIn,Fin,2,400,5,2009,168500,192
60,121.0,16059,NoRidge,2Story,8,5,1991,HdBoard,HdBoard,BrkFace,284.0,CBlock,Gd,Unf,1288,Ex,2417,0,2,4,Gd,9,1,TA,Attchd,Unf,2,462,4,2006,260000,209
60,122.0,11911,Gilbert,2Story,6,5,2005,VinylSd,VinylSd,None,0.0,PConc,Gd,Unf,684,Ex,1560,0,2,3,Gd,6,1,Gd,BuiltIn,Fin,2,400,3,2009,174000,138
160,40.0,3951,Somerst,2Story,6,5,2009,VinylSd,VinylSd,Stone,76.0,PConc,Gd,Unf,612,Ex,1224,0,2,2,Gd,4,0,none,Detchd,RFn,2,528,6,2009,164500,234
50,105.0,8470,IDOTRR,1.5Fin,3,2,1915,Plywood,Plywood,None,0.0,CBlock,TA,Unf,1013,TA,1526,0,1,2,Fa,6,0,none,none,none,0,0,10,2009,85000,156
20,60.0,8070,CollgCr,1Story,4,5,1994,VinylSd,VinylSd,None,0.0,PConc,Gd,GLQ,990,Ex,990,1,1,3,TA,5,0,none,none,none,0,0,8,2007,123600,0
20,85.0,8500,NAmes,1Story,5,3,1961,HdBoard,HdBoard,BrkCmn,203.0,CBlock,TA,Rec,1235,TA,1235,0,1,2,TA,6,0,none,Attchd,Unf,2,480,12,2006,98600,0
30,80.0,13360,Crawfor,1Story,5,7,1921,Wd Sdng,Wd Sdng,None,0.0,BrkTil,Gd,ALQ,876,Ex,964,1,1,2,TA,5,0,none,Detchd,Unf,2,432,8,2009,163500,44
190,60.0,7200,OldTown,2.5Unf,6,6,1910,MetalSd,MetalSd,None,0.0,BrkTil,TA,Rec,1214,Ex,2291,0,2,4,TA,9,1,Gd,Detchd,Unf,2,506,11,2007,133900,99
60,69.0,9337,CollgCr,2Story,6,5,1997,VinylSd,VinylSd,None,0.0,PConc,Gd,GLQ,824,Ex,1786,1,2,3,Gd,7,0,none,Attchd,RFn,2,684,5,2007,204750,162
60,90.4186046511628,9765,Gilbert,2Story,6,8,1993,VinylSd,VinylSd,BrkFace,68.0,PConc,Gd,ALQ,680,Gd,1470,0,2,3,TA,6,1,TA,BuiltIn,Fin,2,420,4,2009,185000,295
20,78.0,10264,CollgCr,1Story,7,5,1999,VinylSd,VinylSd,BrkFace,183.0,PConc,Gd,ALQ,1588,Ex,1588,0,2,3,Gd,6,0,none,Attchd,RFn,2,472,8,2006,214000,187
20,73.0,10921,Edwards,1Story,4,5,1965,HdBoard,HdBoard,BrkFace,48.0,CBlock,TA,Rec,960,TA,960,1,1,3,TA,6,0,none,Attchd,Fin,1,432,5,2007,94750,120
30,85.0,10625,Edwards,1Story,5,5,1920,Wd Sdng,Wd Sdng,None,0.0,BrkTil,TA,ALQ,458,Fa,835,0,1,2,TA,5,0,none,Basment,Unf,1,366,5,2010,83000,77
20,77.0,9320,NAmes,1Story,4,5,1959,Plywood,Plywood,None,0.0,CBlock,TA,ALQ,950,Fa,1225,1,1,3,TA,6,0,none,none,none,0,0,1,2010,128950,352
20,90.4186046511628,10603,NWAmes,1Story,6,7,1977,Plywood,Plywood,BrkFace,28.0,PConc,TA,ALQ,1610,Gd,1610,1,2,3,Gd,6,2,TA,Attchd,RFn,2,480,2,2010,205000,236
60,77.0,9206,SawyerW,2Story,6,5,1985,HdBoard,HdBoard,BrkFace,336.0,CBlock,Gd,Unf,741,TA,1732,0,2,3,Gd,7,1,TA,Attchd,Fin,2,476,6,2010,178000,238
20,94.0,10402,CollgCr,1Story,7,5,2009,VinylSd,VinylSd,None,0.0,PConc,Gd,Unf,1226,Ex,1226,0,2,3,Gd,6,0,none,Attchd,RFn,3,740,5,2010,198900,36
50,90.4186046511628,7758,IDOTRR,1.5Fin,7,4,1931,Stucco,Stucco,BrkFace,600.0,PConc,TA,LwQ,1040,Ex,1818,0,1,4,TA,7,2,TA,Detchd,Unf,1,240,6,2007,169500,184
60,75.0,9375,Somerst,2Story,8,5,2003,VinylSd,VinylSd,BrkFace,768.0,PConc,Ex,Unf,1053,Ex,1992,0,2,3,Gd,9,1,Gd,Attchd,RFn,2,648,8,2008,250000,185
30,60.0,10800,OldTown,1Story,4,7,1885,VinylSd,VinylSd,None,0.0,BrkTil,Fa,Unf,641,Gd,1047,0,1,2,TA,6,0,none,Detchd,Unf,1,273,8,2007,100000,0
20,50.0,6000,OldTown,1Story,5,5,1948,VinylSd,VinylSd,None,0.0,CBlock,TA,ALQ,789,Ex,789,0,1,2,TA,5,0,none,Detchd,Unf,1,250,4,2008,115000,0
50,85.0,8500,IDOTRR,1.5Fin,5,7,1919,CemntBd,CmentBd,None,0.0,CBlock,TA,Unf,793,TA,1517,0,2,3,Fa,7,0,none,none,none,0,0,8,2007,115000,144
20,105.0,11751,NWAmes,1Story,6,6,1977,Plywood,Plywood,BrkFace,480.0,CBlock,Gd,BLQ,1844,Ex,1844,0,2,3,TA,7,1,TA,Attchd,RFn,2,546,1,2010,190000,122
50,75.0,9525,Edwards,1.5Fin,6,4,1954,Wd Sdng,Wd Sdng,None,0.0,CBlock,TA,Rec,994,Gd,1855,0,2,4,TA,7,0,none,Attchd,Unf,1,325,10,2006,136900,182
80,90.4186046511628,7750,Gilbert,SLvl,7,5,2000,VinylSd,VinylSd,None,0.0,PConc,Gd,GLQ,384,Ex,1430,0,2,3,TA,7,1,TA,BuiltIn,Fin,2,400,4,2010,180000,180
60,77.0,9965,CollgCr,2Story,7,5,2007,VinylSd,VinylSd,Stone,220.0,PConc,Ex,GLQ,1264,Ex,2696,1,2,4,Ex,10,1,Gd,BuiltIn,Fin,3,792,10,2007,383970,472
20,90.4186046511628,21000,Crawfor,1Story,6,5,1953,Wd Sdng,Wd Sdng,BrkFace,184.0,CBlock,Gd,ALQ,1809,TA,2259,1,2,3,Gd,7,2,Gd,Basment,Unf,2,450,10,2007,217000,478
70,61.0,7259,Crawfor,2Story,6,8,1945,Wd Sdng,Wd Sdng,None,0.0,CBlock,TA,ALQ,1028,Ex,2320,1,2,3,Gd,9,1,TA,Detchd,Unf,1,180,7,2007,259500,224
160,34.0,3230,Somerst,2Story,6,5,1999,MetalSd,MetalSd,BrkFace,1129.0,PConc,Gd,GLQ,729,Gd,1458,0,2,2,TA,5,1,Fa,Detchd,Unf,2,440,6,2007,176000,32
20,90.4186046511628,11616,Sawyer,1Story,5,5,1962,Wd Sdng,Wd Sdng,BrkFace,116.0,CBlock,TA,LwQ,1092,TA,1092,0,1,3,TA,6,1,Po,Attchd,Unf,1,288,9,2009,139000,164
20,74.0,8536,Edwards,1Story,5,5,2006,VinylSd,VinylSd,None,0.0,PConc,Gd,Unf,1125,Gd,1125,0,1,2,TA,5,0,none,Attchd,Unf,2,430,4,2007,155000,144
60,90.0,12376,SawyerW,2Story,7,5,1990,Plywood,Plywood,None,0.0,PConc,Gd,GLQ,1673,Gd,3222,1,3,5,Gd,11,2,TA,Attchd,Unf,3,594,5,2010,320000,367
60,65.0,8461,CollgCr,2Story,6,5,2005,VinylSd,VinylSd,None,0.0,PConc,Gd,Unf,728,Ex,1456,0,2,3,Gd,8,1,Gd,Attchd,Fin,2,390,7,2006,163990,24
80,90.4186046511628,21453,ClearCr,SLvl,6,5,1969,Plywood,Plywood,None,0.0,CBlock,TA,ALQ,938,Ex,988,1,1,1,TA,4,2,TA,Attchd,Unf,2,540,10,2006,180000,130
50,50.0,6060,IDOTRR,1.5Fin,4,5,1939,AsbShng,AsbShng,None,0.0,PConc,TA,Unf,732,Gd,1123,0,1,3,TA,4,0,none,Detchd,Unf,1,264,6,2007,100000,140
20,75.0,9464,NAmes,1Story,6,7,1958,MetalSd,MetalSd,BrkFace,135.0,CBlock,TA,BLQ,1080,Gd,1080,0,1,3,TA,5,0,none,Attchd,Unf,1,288,6,2008,136000,130
120,55.0,7892,SawyerW,1Story,6,5,1993,Plywood,Plywood,None,0.0,PConc,Gd,GLQ,1199,Ex,1199,0,2,2,Gd,5,0,none,Attchd,RFn,2,530,3,2008,153900,63
20,48.0,17043,NWAmes,1Story,6,5,1979,HdBoard,HdBoard,None,0.0,CBlock,Gd,Unf,1362,TA,1586,0,2,3,TA,7,1,TA,Attchd,Unf,2,435,1,2009,181000,192
190,60.0,6780,IDOTRR,1.5Fin,6,8,1935,Wd Sdng,Wd Sdng,None,0.0,CBlock,TA,GLQ,520,Gd,754,1,1,2,TA,5,0,none,none,none,0,0,6,2006,84500,53
120,90.4186046511628,4928,NPkVill,1Story,6,5,1976,Plywood,Plywood,None,0.0,CBlock,Gd,ALQ,1078,TA,958,0,2,2,TA,5,1,TA,Attchd,RFn,2,440,2,2007,128000,205
45,55.0,4388,OldTown,1.5Unf,5,7,1930,WdShing,Wd Sdng,None,0.0,BrkTil,TA,LwQ,672,Ex,840,0,1,3,TA,5,1,TA,none,none,0,0,6,2007,87000,0
60,69.0,7590,NAmes,2Story,6,5,1966,VinylSd,VinylSd,BrkFace,266.0,CBlock,TA,BLQ,660,TA,1348,0,1,3,TA,6,1,Fa,Attchd,RFn,2,453,7,2006,155000,296
